username,name,school,org_type,category_hint,active,notes
nthu_ipta,藝術學院學士班系學會,nthu,official,自治性,true,2026-08 sweep：ig_hunt_0（high）
nycueas1,陽明交大課外活動輔導組(陽明校區),nycu,official,,true,2026-08 sweep：ig_hunt_0（high）
nycu.ee_official,陽明交大電子工程學系暨電子研究所,nycu,department,,true,2026-08 sweep：ig_hunt_0（med）
nycu_graduate,陽明交通大學交大校區畢聯會,nycu,official,,true,2026-08 sweep：ig_hunt_0（high）
nthuguitar,吉他社,nthu,club,音樂性,true,2026-08 sweep：ig_hunt_0（high）
nthuobs,清華大學天文台,nthu,official,,true,2026-08 sweep：ig_hunt_0（high）
hkmac_nthu,港澳同學會,nthu,club,綜合性,true,2026-08 sweep：ig_hunt_0（high）
nthumagic,魔術社,nthu,club,技藝性,true,2026-08 sweep：ig_hunt_0（high）
nyculib,陽明交大圖書館,nycu,official,,true,2026-08 sweep：ig_hunt_0（high）
nycueecamp,交大電機營,nycu,club,,true,2026-08 sweep：ig_hunt_0（high）
nthu_nanyo,南友會,nthu,club,綜合性,true,2026-08 sweep：ig_hunt_0（high）
xianchi_ym,陽明咸池國樂社,nycu,club,學藝性,true,2026-08 sweep：ig_hunt_0（high）
nthuipns,清大原子科學院學士班,nthu,department,,true,2026-08 sweep：ig_hunt_0（high）
nthu_alumni,清大校友中心,nthu,official,,true,2026-08 sweep：ig_hunt_1（high）
nthu_nepal,清華大學國際志工尼泊爾團,nthu,club,,true,2026-08 sweep：ig_hunt_1（high）
nthu_ips,理學院學士班,nthu,official,自治性,true,2026-08 sweep：ig_hunt_1（high）
nthukipe,竹師教育學院學士班系學會,nthu,official,自治性,true,2026-08 sweep：ig_hunt_1（high）
nycu.dea.ct,陽明交大課外活動輔導組(交大校區),nycu,official,,true,2026-08 sweep：ig_hunt_1（high）
nthu.acgacademic,ACG蔓延社,nthu,club,學術性A,true,2026-08 sweep：ig_hunt_1（high）
nycu_sanfu_baby,交大Smrangi山福團,nycu,club,服務性,true,2026-08 sweep：ig_hunt_1（high）
yccmc_52th,陽明中國傳統醫學研究社,nycu,club,學術性,true,2026-08 sweep：ig_hunt_1（med）
cie_nthu,中國工程師學會清華分會,nthu,club,學術性B,true,2026-08 sweep：ig_hunt_1（med）
nycu.fhl,交大信望愛社,nycu,club,學術性,true,2026-08 sweep：ig_hunt_1（high）
nycu_yoga_club,交大瑜珈社,nycu,club,體能性,true,2026-08 sweep：ig_hunt_1（high）
nycudcat21st,交大傳播與科技學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：ig_hunt_1（high）
makereallabs_nctu,交大創客俱樂部,nycu,club,學藝性,true,2026-08 sweep：ig_hunt_1（high）
nycu_entrepreneurship_club,交大創新創業社,nycu,club,學術性,true,2026-08 sweep：ig_hunt_1（high）
beiyou____,交大北區校友會,nycu,club,綜合性,true,2026-08 sweep：ig_hunt_1（med）
yschorus,交大友聲合唱團,nycu,club,音樂戲劇性,true,2026-08 sweep：ig_hunt_1（high）
nthu_business,商業研究社,nthu,club,學術性A,true,2026-08 sweep：ig_hunt_2（high）
nycu_cycling,交大單車社,nycu,club,體能性,true,2026-08 sweep：ig_hunt_2（high）
nycucmc,交大國樂社,nycu,club,音樂戲劇性,true,2026-08 sweep：ig_hunt_2（high）
nycu_cdyv,交大崇德青年志工社,nycu,club,服務性,true,2026-08 sweep：ig_hunt_2（high）
nctupdc_2004,交大布袋戲社,nycu,club,音樂戲劇性,true,2026-08 sweep：ig_hunt_2（high）
tzuching.nthu,交大慈濟青年社,nycu,club,服務性,true,2026-08 sweep：ig_hunt_2（high）
nycu.tc,交大慈濟青年社,nycu,club,服務性,true,2026-08 sweep：ig_hunt_2（high）
nycu_ic_2021,交大投資理財社,nycu,club,學術性,true,2026-08 sweep：ig_hunt_2（high）
nthu.photoclub,攝影社,nthu,club,藝術性,true,2026-08 sweep：ig_hunt_2（high）
nycu_dmcc,交大數位音樂創作社,nycu,club,音樂戲劇性,true,2026-08 sweep：ig_hunt_2（high）
nthu_yuehan39,月涵文學獎工作會,nthu,club,功能性,true,2026-08 sweep：ig_hunt_2（high）
nycumayhou,交大梅竹後援會,nycu,club,任務性,true,2026-08 sweep：ig_hunt_2（high）
nycusea,陽明舞臺效果藝術社,nycu,club,學藝性,true,2026-08 sweep：ig_hunt_4（high）
nycu_art_fest,交大藝趣節團隊,nycu,club,學藝性,true,2026-08 sweep：ig_hunt_4（high）
nycu.cake,交大蛋糕社,nycu,club,學藝性,true,2026-08 sweep：ig_hunt_4（high）
nycu_tkd,交大跆拳社(交大校區),nycu,club,體能性,true,2026-08 sweep：ig_hunt_4（high）
nycu_piano,交大鋼琴社（交大校區）,nycu,club,音樂戲劇性,true,2026-08 sweep：ig_hunt_4（high）
nycufcs,交大附中山校友會,nycu,club,綜合性,true,2026-08 sweep：ig_hunt_4（high）
nctuceramic,交大陶藝社,nycu,club,學藝性,true,2026-08 sweep：ig_hunt_4（high）
nycu.osa,陽明交大學生事務處,nycu,official,,true,2026-08 sweep：ig_hunt_4（high）
nycu_ptat,陽明物理治療暨輔助科技學系系學會,nycu,official,學生自治組織,true,2026-08 sweep：ig_hunt_4（med）
nthueecs,電資院學士班,nthu,official,自治性,true,2026-08 sweep：ig_hunt_4（high）
nthu_korean,韓語交流文化學習社,nthu,club,學術性B,true,2026-08 sweep：ig_hunt_4（high）
nctumixology_,交大飲料調製社,nycu,club,學藝性,true,2026-08 sweep：ig_hunt_4（high）
nctukga,交大高雄屏東校友會,nycu,club,綜合性,true,2026-08 sweep：ig_hunt_4（high）
nthuhxz,中山校友會,nthu,club,綜合性,true,與附友會共用帳號（附中×中山聯合），2026-08 sweep r2
greenpepper_ccc,交大學園團契社,nycu,club,服務性,true,清交聯合帳號（青椒），2026-08 sweep r2
ukulele_nycu_nthu,交大烏克麗麗社,nycu,club,音樂戲劇性,true,清交聯合帳號，2026-08 sweep r2
nthu_bowling_,保齡球社,nthu,club,體育性A,true,2026-08 sweep r2：topsearch 直搜（帳號全名「清大保齡球社」）
nthufencing,擊劍社,nthu,club,體育性A,true,2026-08 sweep r2：topsearch 直搜（帳號全名「清大擊劍社」）
nthu_ece35,幼教系系學會,nthu,department,自治性,true,2026-08 sweep r2：topsearch 直搜（35屆帳號，34屆已停用）
nthu_actuary.risk,精算風險研究社,nthu,club,學術性A,true,2026-08 sweep r2：topsearch 直搜（帳號全名確認）
nthu_multipleincome,多元收入研究社,nthu,club,學術性A,true,2026-08 sweep r2：topsearch 直搜（帳號全名確認）
nycu_crochet,交大織物社,nycu,club,學藝性,true,2026-08 sweep r2：clubportal 官方登記＋IG 驗證（陽明交大織物社）
nycu.insect.club,交大昆蟲社,nycu,club,學術性,true,2026-08 sweep r2：clubportal 官方登記＋IG 驗證
nycu_cosplay_club,交大角色扮演社,nycu,club,康樂性,true,2026-08 sweep r2：clubportal 官方登記＋IG 驗證
nycunatural,交大自然保育社,nycu,club,學術性,true,2026-08 sweep r2：clubportal 官方登記＋IG 驗證
psclub.nycu,交大科普科技研究社,nycu,club,學術性,true,2026-08 sweep r2：clubportal 官方登記＋IG 驗證（交大科普科技社）
semi_cum_doctor_,半導體工程學系學生會,nycu,department,學生自治組織,true,2026-08 sweep r3：topsearch（交大半導體工程學系學會）
nycu.ai,人工智慧社,nycu,club,學術性,true,2026-08 sweep r3：topsearch（陽明交大AI社）
nycu.life,數碼寶貝社,nycu,club,綜合性,true,2026-08 sweep r3：NYCU LIFE 之社團本體（clubportal 登記）
