page,name,school,org_type,category_hint,active,notes
https://www.facebook.com/YM.PTATSA/,物理治療暨輔助科技學系系學會,nycu,department,學生自治組織,true,學務處院系所學會列表與官方連結頁均直連此粉專；陽明校區
https://www.facebook.com/people/%E6%97%A5%E5%87%BA%E9%9B%BB%E5%BD%B1%E7%A4%BE/61574773697443/,陽明日出電影社,nycu,club,學藝性社團,true,NYCU學務處社團介紹頁(osa.nycu.edu.tw openData)直連此FB;陽明校區
ymmcc999,陽明調酒文化研究社,nycu,club,學藝性社團,true,NYCU學務處社團介紹頁直連此FB;陽明校區
NYCUArtFest,交大藝趣節團隊,nycu,club,學藝性社團,false,NYCU學務處社團介紹頁直連此FB;光復校區;2026-08 sweep：頁面已消失，停用
nycubmhc,交大竹韻口琴社,nycu,club,學藝性社團,true,使用者提供 2026-08-21
thegreatIPE,工學院學士班,nthu,department,學生自治,true,2026-08 sweep：課指組社團系統直連
nthu.cssa,資工系會,nthu,department,學生自治,true,2026-08 sweep：課指組社團系統直連（pg/about URL 正規化）
nthuclsa,中文系會,nthu,department,學生自治,true,2026-08 sweep：課指組社團系統直連
nthubmessa,醫環系會,nthu,department,學生自治,true,2026-08 sweep：課指組社團系統直連
https://www.facebook.com/清大原子科學院學士班-IPNS-1640491809558827/,原科院學士班,nthu,department,學生自治,true,2026-08 sweep：課指組社團系統直連
NHCUEartdesign,藝設系系學會,nthu,department,學生自治,true,2026-08 sweep：課指組社團系統直連（竹師教育學院）
nthusc,學生議會,nthu,official,學生自治,true,2026-08 sweep：課指組社團系統直連
NTHUTFAA,親善大使團,nthu,club,綜合性,true,2026-08 sweep：課指組社團系統直連
guitarnthu,吉他社,nthu,club,音樂性,true,2026-08 sweep：課指組社團系統直連
https://www.facebook.com/清大烹飪社-157801604239737/,烹飪社,nthu,club,技藝性,true,2026-08 sweep：課指組社團系統直連
NTHUGOGOGO,圍棋社,nthu,club,技藝性,true,2026-08 sweep：課指組社團系統直連
https://www.facebook.com/pages/category/Community/清大思言社-1660795027468029/,思言社,nthu,club,學術性,true,2026-08 sweep：課指組社團系統直連
nthumdclub,清大音樂文化發展社,nthu,club,音樂性,true,2026-08 sweep：課指組社團系統直連
NTHUTKD,跆拳道社,nthu,club,體育性A,true,2026-08 sweep：課指組社團系統直連
https://www.facebook.com/清華大學溜冰社-815651555123212/,溜冰社,nthu,club,體育性A,true,2026-08 sweep：課指組社團系統直連
NTHUbilliards,撞球社,nthu,club,體育性A,true,2026-08 sweep：課指組社團系統直連
https://www.facebook.com/清大火力班-1571693219711454/,梅竹火力班,nthu,club,綜合性,true,2026-08 sweep：課指組社團系統直連
nthutainanclub,南友會,nthu,club,聯誼性,true,2026-08 sweep：課指組社團系統直連
nthuHxZ,附友會,nthu,club,聯誼性,true,2026-08 sweep：課指組社團系統直連
https://www.facebook.com/100064029420915,交大中智佛學社,nycu,club,學術性,true,2026-08 sweep：研究 nycu_0（high）
nctupc,交大攝影社,nycu,club,學藝性,true,2026-08 sweep：研究 nycu_0（high）
NCTUElectionalCommittee,交大交通分會選舉委員會,nycu,official,學生會,true,2026-08 sweep：研究 nycu_0（high）
nycuocsa,交大僑生聯誼會交大分會,nycu,club,任務性,true,2026-08 sweep：研究 nycu_0（high）
NYCUJullay,交大印度國際志工團,nycu,club,任務性,true,2026-08 sweep：研究 nycu_0（high）
https://www.facebook.com/p/%E4%BA%A4%E5%A4%A7DJ%E7%A4%BE-100064106407667,交大唱片騎師社,nycu,club,音樂戲劇性,true,2026-08 sweep：研究 nycu_0（high）
NYMUgoclub,陽明圍棋社,nycu,club,康樂性,true,2026-08 sweep：研究 nycu_0（high）
nthuhsssa,人社院學士班,nthu,official,自治性,true,2026-08 sweep：研究 nthu_0（high）
NTHU.FHL,信望愛團契,nthu,club,學術性B,true,2026-08 sweep：研究 nthu_0（high）
FSA.NTHU,外籍生聯誼會,nthu,club,綜合性,true,2026-08 sweep：研究 nthu_0（high）
IEMhome,交大工業工程與管理學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：研究 nycu_1（high）
msenycu,交大材料科學與工程學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：研究 nycu_1（high）
nctuasean,交大東南亞國際志工團,nycu,club,任務性,true,2026-08 sweep：研究 nycu_1（high）
https://www.facebook.com/p/%E5%9C%8B%E7%AB%8B%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E5%AD%B8%E5%A3%AB%E5%BE%8C%E9%86%AB%E5%AD%B8%E7%B3%BB%E7%B3%BB%E5%AD%B8%E6%9C%83-100083816576702,學士後醫學系系學會,nthu,official,自治性,true,2026-08 sweep：研究 nthu_1（high）
nthuieem,工工系會,nthu,official,自治性,true,2026-08 sweep：研究 nthu_1（high）
NTHU.ESS,工科系會,nthu,official,自治性,true,2026-08 sweep：研究 nthu_1（high）
https://www.facebook.com/p/%E6%B8%85%E5%A4%A7%E5%BF%83%E8%AB%AE%E7%B3%BB%E5%AD%B8%E6%9C%83-100069861853321,心諮系系學會,nthu,official,自治性,true,2026-08 sweep：研究 nthu_1（high）
ymbirssa,陽明生物醫學影像暨放射科學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：研究 nycu_2（high）
ymmountainclimbing,陽明登山社,nycu,club,體能性,true,2026-08 sweep：研究 nycu_2（high）
nctu.STEAM.edu,交大科技教育研討社,nycu,club,任務性,true,2026-08 sweep：研究 nycu_2（high）
nctuMagic,交大赤狐魔術社,nycu,club,康樂性,true,2026-08 sweep：研究 nycu_2（high）
NCTURail,交大鐵道研究會,nycu,club,學術性,true,2026-08 sweep：研究 nycu_2（high）
https://www.facebook.com/p/%E6%B8%85%E5%A4%A7%E6%9F%94%E9%81%93%E7%A4%BE-NTHU-JUDO-CLUB-100057413509975,柔道社,nthu,club,體育性B,true,2026-08 sweep：研究 nthu_2（high）
FalunDafa.NCTUNTHU,法輪大法社,nthu,club,體育性B,true,2026-08 sweep：研究 nthu_2（high）
NTHU.TSAPD,物理系會,nthu,official,自治性,true,2026-08 sweep：研究 nthu_2（high）
NTHUchanleader,禪學社,nthu,club,學術性B,true,2026-08 sweep：研究 nthu_2（high）
https://www.facebook.com/yulingnthutennisprince,網球社,nthu,club,體育性B,true,2026-08 sweep：研究 nthu_2（high）
NYCUYMGSC,陽明分會研究所代表大會,nycu,official,學生會,true,2026-08 sweep：研究 nycu_3（high）
NYCUSAYMEC,陽明分會選務委員會,nycu,official,學生會,true,2026-08 sweep：研究 nycu_3（high）
YoungMeanGuitar,陽明吉他社,nycu,club,學藝性,true,2026-08 sweep：研究 nycu_3（high）
YMPhotographyClub,陽明攝影社,nycu,club,學藝性,true,2026-08 sweep：研究 nycu_3（high）
ympopdance,陽明熱舞社,nycu,club,康樂性,true,2026-08 sweep：研究 nycu_3（high）
YMIllusionatti,陽明魔術社,nycu,club,康樂性,true,2026-08 sweep：研究 nycu_3（high）
NTHU.FarmingStar,耕星社,nthu,club,服務性A,true,2026-08 sweep：研究 nthu_3（high）
ei.nthu,英教系系學會,nthu,official,自治性,true,2026-08 sweep：研究 nthu_3（high）
nthubluesky,藍天社,nthu,club,服務性B,true,2026-08 sweep：研究 nthu_3（high）
QrazyFinance,計財系會,nthu,official,自治性,true,2026-08 sweep：研究 nthu_3（high）
yueren.cafe,閱人咖啡館社,nthu,club,學術性B,true,2026-08 sweep：研究 nthu_3（high）
https://www.facebook.com/people/%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E5%8A%8D%E9%81%93%E7%A4%BE%E9%99%BD%E6%98%8E%E6%A0%A1%E5%8D%80/61551365380126,陽明劍道社,nycu,club,體能性,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/people/%E9%99%BD%E6%98%8E%E7%9A%AE%E8%97%9D%E7%A4%BE/100067995153028,國立陽明交通大學皮藝社,nycu,club,學藝性,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/nctubwy,交大福智青年社,nycu,club,學術性,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/nycuwlef,交大青年領袖社,nycu,club,學術性,true,2026-08-30 使用者更正 sub_e398b6f7ee57：取代已失效 @nctuwlef；FB 顯示名「陽明交大領袖社」，仍有新貼文
https://www.facebook.com/NCTUCSC,交大網路安全策進會,nycu,club,學術性,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/NYCU.DSA,陽明牙醫學系系學會,nycu,official,學生自治組織,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/people/%E9%99%BD%E6%98%8E%E4%BA%A4%E5%A4%A7%E9%A0%98%E8%A2%96%E7%A4%BE-%E9%99%BD%E6%98%8E%E6%A0%A1%E5%8D%80/100093454160722,國立陽明交通大學青年領袖社（陽明校區）,nycu,club,學術性,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/nctukendo,交大劍道社(交大校區),nycu,club,體能性,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/NCTUME,交大機械工程學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/NCTUPCCA,交大程式競賽社,nycu,club,任務性,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/nycueo,交大光電工程學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/CT.Associa,交大傳播與科技學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/hsssu,交大人文社會學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/NCTUIMF,交大資訊管理與財務金融學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/NCTU.epstudentorganization,交大電子物理學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/nctuamunion,交大應用數學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/nycums,交大管理科學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/NCTUcoffee,交大咖啡社,nycu,club,學藝性,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/%E4%BA%A4%E5%A4%A7%E7%91%9C%E7%8F%88%E7%A4%BE-558704051322587,交大瑜珈社,nycu,club,體能性,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E7%AE%A1%E5%BC%A6%E6%A8%82%E7%A4%BE-190643944351797,交大管弦樂團,nycu,club,音樂戲劇性,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/NYMUBMESA,陽明生物醫學工程學系學生會,nycu,official,學生自治組織,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/NYMURX,陽明藥學系系學會,nycu,official,學生自治組織,true,2026-08 sweep：OSA 官方頁（high）
https://www.facebook.com/NYMUStudentAssociation,陽明學生會（陽明交大學生會陽明分會）,nycu,official,學生會,true,2026-08 sweep：OSA 官方頁（high）
nctucs.assoc,資訊工程學系學生會,nycu,department,學生自治組織,true,2026-08 sweep r2：研究 nycu_2（high）
NYCUTLM,運輸與物流管理學系學生會,nycu,department,學生自治組織,true,2026-08 sweep r2：研究 nycu_2（high）
nycumedstu,陽明醫學系學生會,nycu,department,學生自治組織,true,2026-08 sweep r2：研究 nycu_2（high）
econstudents,經濟系會,nthu,department,自治性,true,2026-08 sweep r2：研究 nthu_2（high）
nctudbtsu,生物科技學系學生會,nycu,department,學生自治組織,true,2026-08 sweep r2：研究 nycu_1（high）
nctuac108,應用化學系學生會,nycu,department,學生自治組織,true,2026-08 sweep r2：研究 nycu_1（high）
nthu.math.stu,數學系會,nthu,department,自治性,true,2026-08 sweep r2：研究 nthu_1（high）
nthumaterial,材料系會,nthu,department,自治性,true,2026-08 sweep r2：研究 nthu_1（high）
nthusoftball,壘球社,nthu,club,體育性A,true,2026-08 sweep r2：研究 nthu_0（med，活躍度存疑）
https://www.facebook.com/profile.php?id=100090901423988,慢跑社,nthu,club,體育性B,true,2026-08 sweep r2：課指組官方登記連結（high）
https://www.facebook.com/profile.php?id=100064467771027,慧鐘社,nthu,club,學術性B,true,2026-08 sweep r2：課指組官方登記連結（high；清華大學慧鐘佛學社）
https://www.facebook.com/profile.php?id=100069446431530,陽明瑜珈社,nycu,club,體能性,true,2026-08 sweep r2：OSA 官方登記連結（high）
https://www.facebook.com/profile.php?id=100052808006571,交大撞球社,nycu,club,體能性,true,2026-08 sweep r2：clubportal 官方登記連結（med）
https://www.facebook.com/p/%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E7%A7%91%E5%AD%B8%E7%B3%BB%E5%AD%B8%E6%9C%83-100057233300156/,醫學科學系學會,nthu,department,自治性,true,2026-08 sweep r2：研究 nthu_3（med）
NTHUchanleader,禪學社(南大),nthu,club,學術性B,true,2026-08 sweep r2：研究 nthu_2 確認存活（原 nthusrchan 已死）
https://www.facebook.com/profile.php?id=111469803642063,族群與文化研究所學生會,nycu,department,學生自治組織,true,2026-08 sweep r2：clubportal 官方登記
https://www.facebook.com/profile.php?id=61579104423248,交大壘球社,nycu,club,體能性,true,2026-08 sweep r2：clubportal share 連結解析
https://www.facebook.com/profile.php?id=61565158105143,音樂遊戲社,nycu,club,康樂性,true,2026-08 sweep r2：clubportal 官方登記
https://www.facebook.com/profile.php?id=61556760723081,交大卡牌遊戲社,nycu,club,康樂性,true,2026-08 sweep r2：clubportal 官方登記
https://www.facebook.com/profile.php?id=61556742397874,交大篆刻社,nycu,club,學藝性,true,2026-08 sweep r2：clubportal 官方登記
https://www.facebook.com/profile.php?id=61563966988944,交大貢丸喜劇社,nycu,club,康樂性,true,2026-08 sweep r2：clubportal 官方登記
https://www.facebook.com/profile.php?id=100086459436540,ESG永續前瞻社,nycu,club,學術性,true,2026-08 sweep r2：clubportal 官方登記
aretestdntassn,百川學士學位學程學生會,nycu,department,學生自治組織,true,2026-08 sweep r2：clubportal 官方登記
NCTUCOPSU,光電學院學生會（陽明交大）,nycu,department,學生自治組織,true,2026-08 sweep r2：clubportal 官方登記（光電學院在台南歸仁校區）
NCTUGenkiHealthcare,交大元氣醫護志工團,nycu,club,服務性,true,2026-08 sweep r2：clubportal 官方登記
https://www.facebook.com/profile.php?id=100064537969130,日本學生聯誼會,nthu,club,綜合性,true,2026-08 sweep r2：Yahoo 搜尋命中「清華大學日本人學生會」（med）
https://www.facebook.com/profile.php?id=100083469485465,交大散打搏擊社,nycu,club,體能性,true,2026-08 sweep r2：NCTU Kick Boxing 粉專（med；官方登記為 group）
https://www.facebook.com/groups/NTHUISA,印度學生聯誼會,nthu,club,綜合性,link,2026-08 sweep r3：FB 社團（group）僅展示入口
https://www.facebook.com/groups/msinnctu,陸生聯誼會,nycu,club,任務性,link,2026-08 sweep r3：clubportal 官方登記 group，僅展示
https://www.facebook.com/groups/nctubridge,交大橋藝社,nycu,club,康樂性,link,2026-08 sweep r3：clubportal 官方登記 group，僅展示
https://www.facebook.com/groups/ymtennisclub,陽明硬式網球社,nycu,club,體能性,link,2026-08 sweep r3：OSA 登記 group，僅展示
https://www.facebook.com/groups/nctuccc,交大學園團契社,nycu,club,服務性,link,2026-08 sweep r3：OSA 登記 group，僅展示
https://www.facebook.com/groups/1764017393867680,交大跑酷社,nycu,club,體能性,link,2026-08 sweep r3：OSA 登記 group，僅展示
https://www.facebook.com/groups/327026434028600,交大烏克麗麗社,nycu,club,音樂戲劇性,link,2026-08 sweep r3：OSA 登記 group，僅展示
https://www.facebook.com/groups/130432718550,交大散打搏擊社,nycu,club,體能性,link,2026-08 sweep r3：OSA 登記 group，僅展示
https://www.facebook.com/groups/202918536392355,醫學生物技術暨檢驗學系學生會,nycu,department,學生自治組織,link,2026-08 sweep r3：OSA 登記 group，僅展示
https://www.facebook.com/groups/146509856065444,交大科技教育研討社,nycu,club,任務性,link,2026-08 sweep r3：OSA 登記 group，僅展示
https://www.facebook.com/groups/123630245307,交大僑生聯誼會交大分會,nycu,club,任務性,link,2026-08 sweep r3：OSA 登記 group，僅展示
https://www.facebook.com/groups/1348687423933413,照顧與送養貓貓社,nthu,club,服務性A,link,2026-08 sweep r3：FB group 僅展示
https://www.facebook.com/groups/267832993828952,經濟商管學生會,nthu,club,學術性A,link,2026-08 sweep r3：AIESEC 清華分會 group 僅展示
niche.girlsinstem,Niche你需,nycu,club,綜合性,true,2026-08 deep search：linktr.ee 佐證
https://www.facebook.com/profile.php?id=61578757687309,悅讀AI半導體,nycu,club,學術性,true,2026-08 deep search：粉專「悅讀ai半導體」
https://www.facebook.com/profile.php?id=100083022176657,思源親善大使團,nycu,club,任務性,true,2026-08 deep search：實訪確認（2022 後低度更新）
NCTU711,交大二餐7-11,nycu,external,校園商家,true,2026-08-26 使用者回報 sub_e04959c51991：og:title 交大二餐7-11
